tweet_id,source,name,dog_stage,date,time,year,month,weekday,cleantext,display_text_range,favorite_count,retweet_count,jpg_url,first_prediction,first_confidence,first_dog,second_prediction,second_confidence,second_dog,third_prediction,third_confidence,third_dog,rating
892420643555336193,Twitter for iPhone,Phineas,,2017-08-01,16:23:56,2017,8,Tuesday,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,"[0, 85]",39467.0,8853.0,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,orange,0.0970486,False,bagel,0.0858511,False,banana,0.07611,False,13.0/10.0
892177421306343426,Twitter for iPhone,Tilly,,2017-08-01,00:17:27,2017,8,Tuesday,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ","[0, 138]",33819.0,6514.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,chihuahua,0.323581,True,pekinese,0.0906465,True,papillon,0.0689569,True,13.0/10.0
891815181378084864,Twitter for iPhone,Archie,,2017-07-31,00:18:03,2017,7,Monday,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,"[0, 121]",25461.0,4328.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,12.0/10.0
891689557279858688,Twitter for iPhone,Darla,,2017-07-30,15:58:51,2017,7,Sunday,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,"[0, 79]",42908.0,8964.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,paper towel,0.1702779999999999,False,labrador retriever,0.1680859999999999,True,spatula,0.0408359,False,13.0/10.0
891327558926688256,Twitter for iPhone,Franklin,,2017-07-29,16:00:24,2017,7,Saturday,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ","[0, 138]",41048.0,9774.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,0.555712,True,english springer,0.2257699999999999,True,german short-haired pointer,0.175219,True,12.0/10.0
891087950875897856,Twitter for iPhone,,,2017-07-29,00:08:17,2017,7,Saturday,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,"[0, 138]",20562.0,3261.0,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,chesapeake bay retriever,0.425595,True,irish terrier,0.116317,True,indian elephant,0.0769021999999999,False,13.0/10.0
890971913173991426,Twitter for iPhone,Jax,,2017-07-28,16:27:12,2017,7,Friday,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

","[0, 140]",12041.0,2158.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,appenzeller,0.341703,True,border collie,0.199287,True,ice lolly,0.193548,False,13.0/10.0
890729181411237888,Twitter for iPhone,,,2017-07-28,00:22:40,2017,7,Friday,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,"[0, 118]",56848.0,16716.0,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,pomeranian,0.566142,True,eskimo dog,0.1784059999999999,True,pembroke,0.0765069,True,13.0/10.0
890609185150312448,Twitter for iPhone,Zoey,,2017-07-27,16:25:51,2017,7,Thursday,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,"[0, 122]",28226.0,4429.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,irish terrier,0.4875739999999999,True,irish setter,0.193054,True,chesapeake bay retriever,0.118184,True,13.0/10.0
890240255349198849,Twitter for iPhone,Cassie,doggo,2017-07-26,15:59:51,2017,7,Wednesday,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,"[0, 133]",32467.0,7711.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,pembroke,0.511319,True,cardigan,0.451038,True,chihuahua,0.0292482,True,14.0/10.0
